Timestamp,Power_kw,Setpoint_kw,Baseline_wind_ms,Scrape_wind_ms,scraped_interpolated,baseline_interpolated,Scrape_linear_scaled_wind_ms,Final_wind_ms,Wind_data_source,Predicted_power_kw,Final_power_kw,Power_data_source,Energy_kwh
2017-10-11 19:30:00,461.06666666666666,900.0,9.586666666666668,3.58,False,False,6.991034385476412,9.586666666666668,baseline,480.5194328555889,461.06666666666666,baseline,230.53333333333333
2017-10-11 20:00:00,398.53333333333336,900.0,8.936666666666667,3.13,False,False,6.394604698394953,8.936666666666667,baseline,391.00570222150543,398.53333333333336,baseline,199.26666666666668
2017-10-11 20:30:00,377.0,900.0,9.1,3.58,False,False,6.991034385476412,9.1,baseline,413.44787194327046,377.0,baseline,188.5
2017-10-11 21:00:00,584.3333333333334,900.0,10.333333333333334,3.58,False,False,6.991034385476412,10.333333333333334,baseline,580.1268174452905,584.3333333333334,baseline,292.1666666666667
2017-10-11 21:30:00,430.1,900.0,9.403333333333334,3.13,False,False,6.394604698394953,9.403333333333334,baseline,455.2967913114837,430.1,baseline,215.05
2017-10-11 22:00:00,292.96666666666664,900.0,8.23,4.02,False,False,7.574210079511616,8.23,baseline,296.8073957797371,292.96666666666664,baseline,146.48333333333332
2017-10-11 22:30:00,565.7931034482758,900.0,10.041379310344826,2.24,False,False,5.21499931727829,10.041379310344826,baseline,542.020270777392,565.7931034482758,baseline,282.8965517241379
2017-10-11 23:00:00,747.1666666666666,900.0,11.726666666666667,3.58,False,False,6.991034385476412,11.726666666666667,baseline,735.3661032713778,747.1666666666666,baseline,373.5833333333333
2017-10-11 23:30:00,783.1333333333333,900.0,12.233333333333333,7.6,False,False,12.319139590070781,12.233333333333333,baseline,777.829094138863,783.1333333333333,baseline,391.56666666666666
2017-10-12 00:00:00,652.4666666666667,900.0,11.56,6.71,False,False,11.139534208954117,11.56,baseline,719.6452358989279,652.4666666666667,baseline,326.23333333333335
2017-10-12 00:30:00,817.0666666666667,900.0,13.443333333333333,6.71,False,False,11.139534208954117,13.443333333333333,baseline,847.7433815835311,817.0666666666667,baseline,408.53333333333336
2017-10-12 01:00:00,759.4333333333333,900.0,11.610000000000001,8.05,False,False,12.915569277152242,11.610000000000001,baseline,724.4511780158576,759.4333333333333,baseline,379.71666666666664
2017-10-12 01:30:00,799.6333333333333,900.0,12.360000000000001,6.71,False,False,11.139534208954117,12.360000000000001,baseline,787.1846320004954,799.6333333333333,baseline,399.81666666666666
