Timestamp,res_demand_avg_kw,res_n_households,res_energy_per_household_kwh,res_energy_total_kwh,season,hour,day
2017-11-11 21:00:00,0.3035703040440815,10163,0.15178515202204074,1542.5925,Autumn,21,2017-11-11
2017-11-11 21:30:00,0.2853653448784808,10163,0.1426826724392404,1450.0840000000003,Autumn,21,2017-11-11
2017-11-11 22:00:00,0.2633985029055452,10153,0.1316992514527726,1337.1425000000002,Autumn,22,2017-11-11
2017-11-11 22:30:00,0.2363205393169964,10161,0.1181602696584982,1200.6265000000003,Autumn,22,2017-11-11
2017-11-11 23:00:00,0.2179556102362204,10160,0.1089778051181102,1107.2144999999996,Autumn,23,2017-11-11
2017-11-11 23:30:00,0.193221751968504,10160,0.096610875984252,981.5665000000002,Autumn,23,2017-11-11
2017-11-12 00:00:00,0.1749327226162332,10152,0.0874663613081166,887.9584999999996,Autumn,0,2017-11-12
2017-11-12 00:30:00,0.1588429035752979,10153,0.07942145178764895,806.3659999999998,Autumn,0,2017-11-12
2017-11-12 01:00:00,0.143802382827885,10156,0.0719011914139425,730.2284999999999,Autumn,1,2017-11-12
2017-11-12 01:30:00,0.1346666010240252,10156,0.0673333005120126,683.837,Autumn,1,2017-11-12
2017-11-12 02:00:00,0.1273777318369758,10158,0.0636888659184879,646.9515,Autumn,2,2017-11-12
2017-11-12 02:30:00,0.1218591258121678,10158,0.0609295629060839,618.9225000000002,Autumn,2,2017-11-12
2017-11-12 03:00:00,0.1159378814727308,10158,0.0579689407363654,588.8484999999997,Autumn,3,2017-11-12
2017-11-12 03:30:00,0.110536227603859,10158,0.0552681138019295,561.4134999999999,Autumn,3,2017-11-12
2017-11-12 04:00:00,0.1103099035243158,10158,0.0551549517621579,560.2639999999999,Autumn,4,2017-11-12
2017-11-12 04:30:00,0.1093074424099232,10158,0.0546537212049616,555.1724999999999,Autumn,4,2017-11-12
2017-11-12 05:00:00,0.1104863162039771,10158,0.05524315810198855,561.1599999999997,Autumn,5,2017-11-12
2017-11-12 05:30:00,0.1167409923213231,10158,0.05837049616066155,592.9275,Autumn,5,2017-11-12
2017-11-12 06:00:00,0.1261425477456192,10158,0.0630712738728096,640.6779999999999,Autumn,6,2017-11-12
2017-11-12 06:30:00,0.1372983855089584,10158,0.0686491927544792,697.3384999999997,Autumn,6,2017-11-12
2017-11-12 07:00:00,0.156021953140382,10158,0.078010976570191,792.4355000000002,Autumn,7,2017-11-12
2017-11-12 07:30:00,0.1793188619807049,10158,0.08965943099035245,910.7605000000002,Autumn,7,2017-11-12
2017-11-12 08:00:00,0.21771608584367,10158,0.108858042921835,1105.78,Autumn,8,2017-11-12
2017-11-12 08:30:00,0.2487493601102578,10158,0.1243746800551289,1263.3979999999995,Autumn,8,2017-11-12
2017-11-12 09:00:00,0.2746881275841701,10158,0.13734406379208505,1395.141,Autumn,9,2017-11-12
2017-11-12 09:30:00,0.2905609371923607,10158,0.14528046859618035,1475.759,Autumn,9,2017-11-12
